,Event ID,Date,Short Name,Name,Date Time,Fight Number,Fight ID,Card Segment,Referee,Result Type,Winner ID,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
50,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,3,1167,Main Card,Jeff Rexroad,Scrambled,140000627.0,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
51,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,4,1166,Main Card,Kerry Hatley,Scrambled,140000178.0,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
52,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,5,1169,Main Card,Dan Miragliotta,Scrambled,140000173.0,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
53,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,6,1164,Prelims,Jacob Montalvo,Scrambled,140000353.0,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
54,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,7,1168,Prelims,Jeff Rexroad,Scrambled,140000517.0,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
55,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,8,1253,Prelims,Kerry Hatley,Scrambled,140000894.0,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
56,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,9,1252,Prelims,Dan Miragliotta,Scrambled,140000008.0,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
58,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,11,1263,Early Prelims,Kerry Hatley,Scrambled,140000419.0,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
59,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,12,1298,Early Prelims,Jeff Rexroad,Scrambled,140000895.0,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
60,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,1,1171,Main Card,Dan Miragliotta,Scrambled,140000146.0,Trevin Giles,James Krause,-170,130,"Houston, Texas, USA", USA,Red,False,Middleweight,3,4.65,0.48,0.6,1.06,0.18,3.25,0.61,0.0,1.95,1.0
