,Event ID,Date,Short Name,Name,Date Time,Fight Number,Fight ID,Card Segment,Referee,Result Type,Winner ID,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
2157,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,6,1481,Prelims,Herb Dean,Scrambled,140000923.0,Ariane Lipski,Luana Carolina,-125,100,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Flyweight,3,6.53,0.5,2.0,0.0,0.0,3.38,0.31,0.3,0.33,1.0
2158,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,7,1529,Prelims,Daniel Movahedi,Scrambled,140000156.0,Ariane Lipski,Luana Carolina,-125,100,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Flyweight,3,6.53,0.5,2.0,0.0,0.0,3.38,0.31,0.3,0.33,1.0
2159,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,8,1528,Prelims,Marc Goddard,Scrambled,140000100.0,Ariane Lipski,Luana Carolina,-125,100,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Flyweight,3,6.53,0.5,2.0,0.0,0.0,3.38,0.31,0.3,0.33,1.0
2160,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,9,1527,Prelims,Daniel Movahedi,Scrambled,140000735.0,Ariane Lipski,Luana Carolina,-125,100,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Flyweight,3,6.53,0.5,2.0,0.0,0.0,3.38,0.31,0.3,0.33,1.0
2161,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,10,1526,Prelims,Herb Dean,Scrambled,140000946.0,Ariane Lipski,Luana Carolina,-125,100,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Flyweight,3,6.53,0.5,2.0,0.0,0.0,3.38,0.31,0.3,0.33,1.0
2162,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,11,1525,Prelims,Daniel Movahedi,Scrambled,140000286.0,Ariane Lipski,Luana Carolina,-125,100,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Flyweight,3,6.53,0.5,2.0,0.0,0.0,3.38,0.31,0.3,0.33,1.0
2163,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,12,1524,Prelims,Rich Mitchell,Scrambled,140000324.0,Ariane Lipski,Luana Carolina,-125,100,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Flyweight,3,6.53,0.5,2.0,0.0,0.0,3.38,0.31,0.3,0.33,1.0
2164,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,1,1482,Main Card,Marc Goddard,Scrambled,140000215.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2165,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,2,1533,Main Card,Herb Dean,Scrambled,140000245.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2166,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,3,1532,Main Card,Rich Mitchell,Scrambled,140000269.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2167,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,4,1531,Main Card,Daniel Movahedi,Scrambled,140000012.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2168,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,5,1530,Main Card,Marc Goddard,Scrambled,140000614.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2169,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,6,1481,Prelims,Herb Dean,Scrambled,140000923.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2170,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,7,1529,Prelims,Daniel Movahedi,Scrambled,140000156.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2171,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,8,1528,Prelims,Marc Goddard,Scrambled,140000100.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2172,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,9,1527,Prelims,Daniel Movahedi,Scrambled,140000735.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2173,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,10,1526,Prelims,Herb Dean,Scrambled,140000946.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2174,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,11,1525,Prelims,Daniel Movahedi,Scrambled,140000286.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2175,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,12,1524,Prelims,Rich Mitchell,Scrambled,140000324.0,Alexandre Pantoja,Askar Askarov,-210,165,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Flyweight,3,3.43,0.48,0.0,2.0,0.22,4.58,0.47,1.3,1.1,0.35
2176,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,1,1482,Main Card,Marc Goddard,Scrambled,140000215.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2177,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,2,1533,Main Card,Herb Dean,Scrambled,140000245.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2178,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,3,1532,Main Card,Rich Mitchell,Scrambled,140000269.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2179,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,4,1531,Main Card,Daniel Movahedi,Scrambled,140000012.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2180,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,5,1530,Main Card,Marc Goddard,Scrambled,140000614.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2181,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,6,1481,Prelims,Herb Dean,Scrambled,140000923.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2182,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,7,1529,Prelims,Daniel Movahedi,Scrambled,140000156.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2183,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,8,1528,Prelims,Marc Goddard,Scrambled,140000100.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2184,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,9,1527,Prelims,Daniel Movahedi,Scrambled,140000735.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2185,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,10,1526,Prelims,Herb Dean,Scrambled,140000946.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2186,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,11,1525,Prelims,Daniel Movahedi,Scrambled,140000286.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2187,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,12,1524,Prelims,Rich Mitchell,Scrambled,140000324.0,Roman Dolidze,Khadis Ibragimov,-167,135,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,3,5.23,0.52,0.0,1.67,0.3,0.0,0.0,0.0,0.0,0.0
2188,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,1,1482,Main Card,Marc Goddard,Scrambled,140000215.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2189,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,2,1533,Main Card,Herb Dean,Scrambled,140000245.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2190,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,3,1532,Main Card,Rich Mitchell,Scrambled,140000269.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2191,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,4,1531,Main Card,Daniel Movahedi,Scrambled,140000012.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2192,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,5,1530,Main Card,Marc Goddard,Scrambled,140000614.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2193,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,6,1481,Prelims,Herb Dean,Scrambled,140000923.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2194,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,7,1529,Prelims,Daniel Movahedi,Scrambled,140000156.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2195,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,8,1528,Prelims,Marc Goddard,Scrambled,140000100.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2196,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,9,1527,Prelims,Daniel Movahedi,Scrambled,140000735.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2197,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,10,1526,Prelims,Herb Dean,Scrambled,140000946.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2198,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,11,1525,Prelims,Daniel Movahedi,Scrambled,140000286.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2199,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,12,1524,Prelims,Rich Mitchell,Scrambled,140000324.0,Grant Dawson,Nad Narimani,-250,195,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,3,3.8,0.43,0.0,2.64,0.41,3.48,0.48,2.5,5.09,0.48
2200,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,1,1482,Main Card,Marc Goddard,Scrambled,140000215.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2201,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,2,1533,Main Card,Herb Dean,Scrambled,140000245.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2202,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,3,1532,Main Card,Rich Mitchell,Scrambled,140000269.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2203,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,4,1531,Main Card,Daniel Movahedi,Scrambled,140000012.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2204,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,5,1530,Main Card,Marc Goddard,Scrambled,140000614.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2205,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,6,1481,Prelims,Herb Dean,Scrambled,140000923.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2206,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,7,1529,Prelims,Daniel Movahedi,Scrambled,140000156.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2207,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,8,1528,Prelims,Marc Goddard,Scrambled,140000100.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2208,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,9,1527,Prelims,Daniel Movahedi,Scrambled,140000735.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2209,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,10,1526,Prelims,Herb Dean,Scrambled,140000946.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2210,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,11,1525,Prelims,Daniel Movahedi,Scrambled,140000286.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2211,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,12,1524,Prelims,Rich Mitchell,Scrambled,140000324.0,Joe Duffy,Joel Alvarez,-335,250,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,3,2.55,0.33,0.0,0.0,0.0,2.56,0.33,0.8,0.75,0.6
2212,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,1,1482,Main Card,Marc Goddard,Scrambled,140000215.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2213,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,2,1533,Main Card,Herb Dean,Scrambled,140000245.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2214,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,3,1532,Main Card,Rich Mitchell,Scrambled,140000269.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2215,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,4,1531,Main Card,Daniel Movahedi,Scrambled,140000012.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2216,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,5,1530,Main Card,Marc Goddard,Scrambled,140000614.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2217,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,6,1481,Prelims,Herb Dean,Scrambled,140000923.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2218,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,7,1529,Prelims,Daniel Movahedi,Scrambled,140000156.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2219,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,8,1528,Prelims,Marc Goddard,Scrambled,140000100.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2220,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,9,1527,Prelims,Daniel Movahedi,Scrambled,140000735.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2221,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,10,1526,Prelims,Herb Dean,Scrambled,140000946.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
2222,133,2020-07-18,UFC Fight Night,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T17:00:00,11,1525,Prelims,Daniel Movahedi,Scrambled,140000286.0,Brett Johns,Montel Jackson,170,-215,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Bantamweight,3,4.16,0.55,0.2,4.84,0.79,3.3,0.48,1.0,4.29,0.52
