,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME,,SUM  Pre COVID,,SUM During COVID,
Pre_COVID,WIN,Askar Askarov,0,73,0,0,Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Tim Elliott,0,47,3,0,,,,,,,,,
Pre_COVID,WIN,Drew Dober,1,13,0,0,Lightweight,KO/TKO,1,1:10,,,,,
Pre_COVID,,Nasrat Haqparast,0,7,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Aleksa Camur,0,80,1,0,Light Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Justin Ledet,0,44,0,0,,,,,,,,,
Pre_COVID,WIN,Sabina Mazo,0,118,0,0,Women's Flyweight,S-DEC,3,5:00,,,,,
Pre_COVID,,JJ Aldrich,0,58,0,0,,,,,,,,,
Pre_COVID,WIN,Jon Jones,0,104,2,0,Light Heavyweight,U-DEC,5,5:00,,,,,
Pre_COVID,,Dominick Reyes,0,116,0,0,,,,,,,,,
Pre_COVID,WIN,Valentina Shevchenko,0,40,3,0,Women's Flyweight,KO/TKO,3,1:03,,,,,
Pre_COVID,,Katlyn Chookagian,0,17,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Justin Tafa,1,10,0,0,Heavyweight,KO/TKO,1,1:59,,,,,
Pre_COVID,,Juan Adams,0,7,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Dan Ige,0,43,1,0,Featherweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Mirsad Bektic,0,17,3,1,,,,,,,,,
Pre_COVID,WIN,Derrick Lewis,0,20,0,0,Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Ilir Latifi,0,5,3,0,,,,,,,,,
Pre_COVID,WIN,Trevin Giles,0,71,0,1,Middleweight,S-DEC,3,5:00,,,,,
Pre_COVID,,James Krause,0,44,1,4,,,,,,,,,
Pre_COVID,WIN,Lauren Murphy,0,80,2,0,Women's Flyweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Andrea Lee,0,104,0,1,,,,,,,,,
Pre_COVID,WIN,Khaos Williams,1,10,0,0,Welterweight,KO/TKO,1,0:27,,,,,
Pre_COVID,,Alex Morono,0,1,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Mario Bautista,1,18,0,0,Bantamweight,KO/TKO,2,1:41,,,,,
Pre_COVID,,Miles Johns,0,13,0,0,,Flying Knee,,,,,,,
Pre_COVID,NC,Domingo Pilarte,0,1,0,0,Bantamweight,Overturned,1,0:38,,,,,
Pre_COVID,NC,Journey Newson,1,6,0,0,,Punch,,,,,,,
