,Event ID,Date,Short Name,Name,Date Time,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
41,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Ion Cutelaba,Magomed Ankalaev,185.0,-225.0,"Norfolk, Virginia, USA", USA,Blue,False,Light Heavyweight,3.0,3.32,0.56,0.0,0.69,0.33,5.27,0.39,0.0,2.62,0.71
42,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Megan Anderson,Norma Dumont,-245.0,205.0,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,3.0,0.0,0.0,0.0,0.0,0.0,1.8,0.46,0.6,0.64,0.5
43,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Grant Dawson,Darrick Minner,-475.0,380.0,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,3.0,6.85,0.54,0.0,0.0,0.0,3.76,0.46,2.1,5.23,0.45
44,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Gabriel Silva,Kyler Phillips,-130.0,110.0,"Norfolk, Virginia, USA", USA,Blue,False,Bantamweight,3.0,18.26,0.56,0.0,0.0,0.0,0.53,0.5,0.0,1.0,0.16
45,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Brendan Allen,Tom Breese,110.0,-130.0,"Norfolk, Virginia, USA", USA,Red,False,Middleweight,3.0,3.85,0.49,0.3,0.0,0.0,2.0,0.53,6.2,3.74,0.42
46,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Luis Pena,Steve Garcia,-270.0,230.0,"Norfolk, Virginia, USA", USA,Red,False,Lightweight,3.0,8.89,0.55,0.0,0.0,0.0,3.7,0.45,1.0,1.25,0.31
47,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Marcin Tybura,Serghei Spivac,100.0,-120.0,"Norfolk, Virginia, USA", USA,Red,False,Heavyweight,3.0,2.65,0.53,1.6,9.93,0.75,3.61,0.51,0.1,1.48,0.61
48,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Jordan Griffin,TJ Brown,-135.0,115.0,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,3.0,3.31,0.47,1.2,5.78,0.71,3.15,0.46,1.8,0.44,0.25
49,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Aalon Cruz,Spike Carlyle,-190.0,165.0,"Norfolk, Virginia, USA", USA,Blue,False,Featherweight,3.0,0.0,0.0,0.0,0.0,0.0,9.04,0.4,0.0,0.0,0.0
50,108,2020-02-29,UFC Fight Night,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T17:00:00,Sean Brady,Ismail Naurdiev,105.0,-125.0,"Norfolk, Virginia, USA", USA,Red,False,Welterweight,3.0,3.4,0.56,0.3,1.67,0.83,7.93,0.56,0.0,2.0,0.66
51,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Israel Adesanya,Yoel Romero,-260.0,240.0,"Las Vegas, Nevada, USA",USA,Red,True,Middleweight,5.0,3.71,0.49,0.0,1.79,0.31,4.46,0.5,0.4,0.0,0.0
52,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Weili Zhang,Joanna Jedrzejczyk,-185.0,170.0,"Las Vegas, Nevada, USA",USA,Red,True,Women's Strawweight,5.0,6.18,0.47,0.1,0.3,0.62,6.22,0.49,0.9,1.75,0.3
53,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Beneil Dariush,Drakkar Klose,-162.0,152.0,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,3.0,3.98,0.52,0.0,1.67,0.3,3.95,0.49,0.9,1.77,0.34
54,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Neil Magny,Li Jingliang,157.0,-167.0,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,3.0,4.9,0.43,0.0,1.24,0.36,3.86,0.46,0.3,2.62,0.46
55,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Alex Oliveira,Max Griffin,-125.0,115.0,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,3.0,4.22,0.49,0.6,1.89,0.54,2.9,0.5,0.7,2.86,0.39
56,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Sean O'Malley,Jose Quinonez,-330.0,300.0,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,3.0,3.49,0.47,0.7,2.64,0.45,6.75,0.56,1.3,1.31,0.5
57,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Mark Madsen,Austin Hubbard,-215.0,195.0,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,3.0,3.17,0.41,0.0,1.5,0.6,18.33,0.75,0.0,12.5,0.5
58,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Rodolfo Vieira,Saparbeg Safarov,-570.0,480.0,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3.0,4.29,0.48,0.0,2.8,0.41,1.91,0.46,1.6,4.77,0.42
59,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Gerald Meerschaert,Deron Winn,125.0,-135.0,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3.0,6.6,0.47,0.0,3.0,0.33,2.73,0.42,1.8,2.56,0.41
60,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Jamall Emmers,Giga Chikadze,-170.0,160.0,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,3.0,3.33,0.52,0.0,0.51,0.33,8.27,0.68,0.0,0.0,0.0
61,109,2020-03-07,UFC 248,UFC 248: Adesanya vs. Romero,2020-03-07T19:00:00,Danaa Batgerel,Guido Cannetti,-120.0,110.0,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,3.0,2.8,0.52,0.3,2.8,0.5,5.67,0.36,0.0,0.0,0.0
62,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Kevin Lee,Charles Oliveira,-145.0,135.0,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Lightweight,5.0,3.21,0.5,2.8,2.77,0.42,3.9,0.42,0.9,3.23,0.42
63,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Demian Maia,Gilbert Burns,160.0,-170.0,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Welterweight,3.0,3.09,0.43,0.7,2.43,0.38,1.82,0.43,1.0,2.49,0.25
64,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Renato Moicano,Damir Hadzovic,-345.0,315.0,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Lightweight,3.0,3.0,0.46,0.2,0.68,0.6,5.53,0.46,0.4,1.16,0.54
65,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Johnny Walker,Nikita Krylov,-137.0,127.0,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Light Heavyweight,3.0,4.86,0.57,1.9,1.06,0.38,5.17,0.69,2.3,0.75,1.0
66,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Francisco Trinaldo,John Makdessi,-160.0,150.0,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Lightweight,3.0,5.43,0.5,0.0,0.0,0.0,3.09,0.44,0.5,1.08,0.45
67,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Jussier Formiga,Brandon Moreno,-150.0,140.0,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Flyweight,3.0,3.12,0.34,0.6,2.02,0.43,1.38,0.38,0.6,1.95,0.39
68,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Amanda Ribas,Randa Markos,-345.0,315.0,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Women's Strawweight,3.0,3.01,0.41,0.3,1.38,0.27,4.29,0.38,1.4,2.71,0.57
69,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Elizeu Dos Santos,Aleksei Kunchenko,-122.0,112.0,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Welterweight,3.0,3.62,0.42,0.0,0.33,0.33,4.18,0.39,0.6,0.45,0.14
70,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Mayra Bueno Silva,Maryna Moroz,-140.0,130.0,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Women's Flyweight,3.0,3.25,0.25,0.5,0.33,0.14,2.24,0.34,3.0,0.0,0.0
71,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Bruno Silva,David Dvorak,-110.0,100.0,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Flyweight,3.0,0.0,0.0,0.0,0.0,0.0,1.54,0.4,0.0,2.31,0.18
