,Date,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
56,2020-03-07,Rodolfo Vieira,Saparbeg Safarov,-570,480,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,4.29,0.48,0.0,2.8,0.41,1.91,0.46,1.6,4.77,0.42
57,2020-03-07,Gerald Meerschaert,Deron Winn,125,-135,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,6.6,0.47,0.0,3.0,0.33,2.73,0.42,1.8,2.56,0.41
58,2020-03-07,Jamall Emmers,Giga Chikadze,-170,160,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,3,3.33,0.52,0.0,0.51,0.33,8.27,0.68,0.0,0.0,0.0
59,2020-03-07,Danaa Batgerel,Guido Cannetti,-120,110,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,3,2.8,0.52,0.3,2.8,0.5,5.67,0.36,0.0,0.0,0.0
60,2020-03-14,Kevin Lee,Charles Oliveira,-145,135,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Lightweight,5,3.21,0.5,2.8,2.77,0.42,3.9,0.42,0.9,3.23,0.42
61,2020-03-14,Demian Maia,Gilbert Burns,160,-170,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Welterweight,3,3.09,0.43,0.7,2.43,0.38,1.82,0.43,1.0,2.49,0.25
62,2020-03-14,Renato Moicano,Damir Hadzovic,-345,315,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Lightweight,3,3.0,0.46,0.2,0.68,0.6,5.53,0.46,0.4,1.16,0.54
63,2020-03-14,Johnny Walker,Nikita Krylov,-137,127,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Light Heavyweight,3,4.86,0.57,1.9,1.06,0.38,5.17,0.69,2.3,0.75,1.0
64,2020-03-14,Francisco Trinaldo,John Makdessi,-160,150,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Lightweight,3,5.43,0.5,0.0,0.0,0.0,3.09,0.44,0.5,1.08,0.45
65,2020-03-14,Jussier Formiga,Brandon Moreno,-150,140,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Flyweight,3,3.12,0.34,0.6,2.02,0.43,1.38,0.38,0.6,1.95,0.39
