Pre COVID,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME
,WIN,Greg Hardy,0,55,0,0,Heavyweight,U-DEC,3,5:00
,,Yorgan De Castro,0,24,0,0,,,,
,WIN,Anthony Pettis,0,63,0,0,Welterweight,U-DEC,3,5:00
,,Donald Cerrone,0,62,2,0,,,,
,WIN,Aleksei Oleinik,0,94,0,0,Heavyweight,S-DEC,3,5:00
,,Fabricio Werdum,0,53,3,1,,,,
,WIN,Carla Esparza,0,45,1,0,Women's Strawweight,S-DEC,3,5:00
,,Michelle Waterson,0,44,0,0,,,,
,WIN,Vicente Luque,1,130,0,0,Welterweight,KO/TKO,3,3:37
,,Niko Price,0,129,1,0,,Punches,,
,WIN,Bryce Mitchell,0,40,3,5,Featherweight,U-DEC,3,5:00
,,Charles Rosa,0,5,0,0,,,,
,WIN,Ryan Spann,0,51,2,1,Light Heavyweight,S-DEC,3,5:00
,,Sam Alvey,0,57,0,0,,,,
,WIN,Glover Teixeira,1,138,1,0,Light Heavyweight,KO/TKO,5,1:04
,,Anthony Smith,0,86,1,0,,Punches,,
,WIN,Ben Rothwell,0,56,1,0,Heavyweight,S-DEC,3,5:00
,,Ovince Saint Preux,1,42,0,0,,,,
,WIN,Drew Dober,0,61,0,0,Lightweight,KO/TKO,2,4:25
,,Alexander Hernandez,0,34,3,0,,Punches,,
,WIN,Ricky Simon,0,67,7,0,Bantamweight,S-DEC,3,5:00
,,Ray Borg,0,47,0,0,,,,
,WIN,Andrei Arlovski,0,50,0,0,Heavyweight,U-DEC,3,5:00
,,Philipe Lins,0,41,0,0,,,,
,WIN,Thiago Moises,0,1,0,1,Lightweight,SUB,2,0:25
,,Michael Johnson,0,27,0,0,,Ankle Lock,,
,WIN,Sijara Eubanks,0,85,2,0,Women's Bantamweight,U-DEC,3,5:00
,,Sarah Moras,0,44,0,0,,,,
,WIN,Omar Morales,0,63,0,0,Lightweight,U-DEC,3,5:00
,,Gabriel Benitez,0,50,0,0,,,,
,WIN,Brian Kelleher,1,29,0,0,Featherweight,KO/TKO,2,3:40
,,Hunter Azure,0,62,0,0,,Punch,,
,WIN,Chase Sherman,1,51,0,0,Heavyweight,KO/TKO,2,0:49
,,Ike Villanueva,0,16,0,0,,Elbow,,
,WIN,Alistair Overeem,1,68,1,0,Heavyweight,KO/TKO,2,3:00
,,Walt Harris,1,25,0,0,,Punches,,
,WIN,Claudia Gadelha,0,84,1,0,Women's Strawweight,S-DEC,3,5:00
,,Angela Hill,1,90,0,0,,,,
,WIN,Dan Ige,0,79,1,0,Featherweight,S-DEC,3,5:00
,,Edson Barboza,1,80,0,0,,,,
,WIN,Krzysztof Jotko,0,66,0,0,Middleweight,U-DEC,3,5:00
,,Eryk Anders,0,41,0,0,,,,
,WIN,Song Yadong,0,101,0,0,Featherweight,U-DEC,3,5:00
,,Marlon Vera,0,92,2,0,,,,
,WIN,Miguel Baeza,2,37,0,0,Welterweight,KO/TKO,2,0:18
,,Matt Brown,0,33,0,0,,Punch,,
,WIN,Kevin Holland,1,14,0,0,Middleweight,KO/TKO,1,0:39
,,Anthony Hernandez,0,0,0,0,,Knees,,
,WIN,Giga Chikadze,1,61,1,0,Featherweight,U-DEC,3,5:00
,,Irwin Rivera,0,34,0,0,,,,
,WIN,Nate Landwehr,0,118,0,0,Featherweight,U-DEC,3,5:00
,,Darren Elkins,0,121,1,0,,,,
,WIN,Cortney Casey,0,6,0,2,Women's Flyweight,SUB,1,3:36
,,Mara Romero Borella,0,5,1,0,,Armbar,,
,WIN,Rodrigo Nascimento,0,32,2,1,Heavyweight,SUB,2,2:05
,,Don'Tale Mayes,0,27,0,0,,Rear Naked Choke,,
,WIN,Gilbert Burns,0,83,2,1,Welterweight,U-DEC,5,5:00
,,Tyron Woodley,0,28,0,0,,,,
,WIN,Augusto Sakai,0,78,0,0,Heavyweight,S-DEC,3,5:00
,,Blagoy Ivanov,0,66,1,0,,,,
,WIN,Billy Quarantillo,0,49,2,2,Catch Weight,U-DEC,3,5:00
,,Spike Carlyle,0,37,3,0,,,,
,WIN,Roosevelt Roberts,0,40,1,3,Lightweight,SUB,2,3:26
,,Brok Weaver,0,14,0,0,,Rear Naked Choke,,
,WIN,Mackenzie Dern,0,5,0,1,Women's Strawweight,SUB,1,2:36
,,Hannah Cifers,0,7,0,0,,Kneebar,,
,WIN,Katlyn Chookagian,0,73,3,4,Women's Flyweight,U-DEC,3,5:00
,,Antonina Shevchenko,0,25,0,0,,,,
,WIN,Daniel Rodriguez,0,175,1,0,Welterweight,U-DEC,3,5:00
,,Gabe Green,0,127,0,0,,,,
,WIN,Jamahal Hill,2,14,0,0,Light Heavyweight,KO/TKO,1,1:51
,,Klidson Abreu,0,5,0,0,,Knee,,
,WIN,Brandon Royval,0,16,1,2,Flyweight,SUB,2,3:18
,,Tim Elliott,0,17,4,0,,Arm Triangle,,
,WIN,Casey Kenney,0,32,0,1,Bantamweight,SUB,1,3:03
,,Louis Smolka,0,18,0,0,,Guillotine Choke,,
,WIN,Chris Gutierrez,2,60,0,0,Featherweight,KO/TKO,2,4:27
,,Vince Morales,0,8,0,0,,Kick,,
,WIN,Amanda Nunes,0,124,6,1,Women's Featherweight,U-DEC,5,5:00
,,Felicia Spencer,0,42,0,0,,,,
,WIN,Cody Garbrandt,1,19,0,0,Bantamweight,KO/TKO,2,4:59
,,Raphael Assuncao,0,17,0,0,,Punch,,
,WIN,Aljamain Sterling,0,2,0,2,Bantamweight,SUB,1,1:28
,,Cory Sandhagen,0,1,0,0,,Rear Naked Choke,,
,WIN,Neil Magny,0,64,0,0,Welterweight,U-DEC,3,5:00
,,Anthony Rocco Martin,0,37,1,0,,,,
,WIN,Sean O'Malley,1,13,0,0,Bantamweight,KO/TKO,1,1:54
,,Eddie Wineland,0,4,0,0,,Punch,,
,WIN,Alex Caceres,1,103,1,0,Featherweight,U-DEC,3,5:00
,,Chase Hooper,0,53,0,0,,,,
,WIN,Ian Heinisch,1,20,0,0,Middleweight,KO/TKO,1,1:14
,,Gerald Meerschaert,0,3,0,0,,Punch,,
,WIN,Cody Stamann,0,89,2,0,Featherweight,U-DEC,3,5:00
,,Brian Kelleher,0,57,1,0,,,,
,WIN,Maki Pitolo,0,29,3,0,Middleweight,KO/TKO,2,1:10
,,Charles Byrd,0,11,1,0,,Punches,,
,WIN,Alex Perez,2,29,0,0,Flyweight,KO/TKO,1,4:06
,,Jussier Formiga,0,18,0,0,,Kick,,
,WIN,Devin Clark,0,79,1,0,Light Heavyweight,U-DEC,3,5:00
,,Alonzo Menifield,0,39,0,0,,,,
,WIN,Herbert Burns,0,5,1,1,Catch Weight,SUB,1,1:20
,,Evan Dunham,0,3,0,0,,Rear Naked Choke,,
,WIN,Cynthia Calvillo,0,113,4,0,Women's Flyweight,U-DEC,5,5:00
,,Jessica Eye,0,70,0,0,,,,
,WIN,Marvin Vettori,0,45,2,2,Middleweight,SUB,1,4:17
,,Karl Roberson,0,4,0,0,,Rear Naked Choke,,
,WIN,Charles Rosa,0,69,0,0,Lightweight,S-DEC,3,5:00
,,Kevin Aguilar,0,53,0,0,,,,
,WIN,Andre Fili,0,44,5,0,Featherweight,S-DEC,3,5:00
,,Charles Jourdain,1,62,0,0,,,,
,WIN,Jordan Espinosa,0,126,2,0,Bantamweight,U-DEC,3,5:00
,,Mark De La Rosa,0,37,0,0,,,,
,WIN,Mariya Agapova,1,29,0,1,Women's Flyweight,SUB,1,2:42
,,Hannah Cifers,0,11,0,0,,Rear Naked Choke,,
,WIN,Merab Dvalishvili,0,73,13,2,Catch Weight,U-DEC,3,5:00
,,Gustavo Lopez,0,14,0,0,,,,
,WIN,Julia Avila,0,11,0,0,Women's Bantamweight,KO/TKO,1,0:22
,,Gina Mazany,0,2,0,0,,Punches,,
,WIN,Tyson Nam,1,2,0,0,Bantamweight,KO/TKO,1,0:32
,,Zarrukh Adashev,0,2,0,0,,Punch,,
,WIN,Christian Aguilera,0,10,0,0,Welterweight,KO/TKO,1,0:59
,,Anthony Ivy,0,4,0,0,,Punches,,
,WIN,Curtis Blaydes,0,69,14,0,Heavyweight,U-DEC,5,5:00
,,Alexander Volkov,0,31,1,0,,,,
,WIN,Josh Emmett,2,127,1,0,Featherweight,U-DEC,3,5:00
,,Shane Burgos,0,128,0,0,,,,
,WIN,Raquel Pennington,0,107,1,0,Women's Bantamweight,U-DEC,3,5:00
,,Marion Reneau,0,46,2,0,,,,
,WIN,Belal Muhammad,0,82,2,0,Welterweight,U-DEC,3,5:00
,,Lyman Good,0,81,0,0,,,,
,WIN,Jim Miller,0,2,0,1,Catch Weight,SUB,1,2:25
,,Roosevelt Roberts,0,1,0,0,,Armbar,,
,WIN,Bobby Green,0,85,2,2,Lightweight,U-DEC,3,5:00
,,Clay Guida,0,23,3,0,,,,
,WIN,Tecia Torres,0,74,0,0,Women's Strawweight,U-DEC,3,5:00
,,Brianna Van Buren,0,34,2,0,,,,
,WIN,Marc-Andre Barriault,1,74,1,0,Middleweight,KO/TKO,2,4:50
,,Oskar Piechota,0,37,0,0,,Punches,,
,WIN,Gillian Robertson,0,21,3,1,Women's Flyweight,SUB,3,4:36
,,Cortney Casey,0,22,0,0,,Rear Naked Choke,,
,WIN,Justin Jaynes,1,16,0,0,Lightweight,KO/TKO,1,0:41
,,Frank Camacho,0,4,0,0,,Punches,,
